"Country,Other",#,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population
Nepal,127,548,32.0,3.0,,70.0,475.0,1.0,19.0,0.1,124674.0,4288.0,29077526
Jamaica,128,544,10.0,9.0,,191.0,344.0,,184.0,3.0,9554.0,3228.0,2959800
Tanzania,129,509,,21.0,,183.0,305.0,7.0,9.0,0.4,,,59531669
Madagascar,130,488,40.0,2.0,,138.0,348.0,4.0,18.0,0.07,5670.0,205.0,27607404
CAR,131,479,,,,18.0,461.0,,99.0,,11570.0,2400.0,4820296
Congo,132,469,,16.0,,137.0,316.0,,85.0,3.0,,,5502218
Réunion,133,449,,1.0,,411.0,37.0,2.0,502.0,1.0,17200.0,19226.0,894627
Taiwan,134,441,,7.0,,411.0,23.0,,19.0,0.3,70526.0,2962.0,23812274
Ethiopia,135,433,,5.0,,128.0,300.0,,4.0,0.04,73205.0,639.0,114630633
Palestine,136,423,,2.0,,346.0,75.0,,83.0,0.4,44876.0,8821.0,5087651
Togo,137,363,,12.0,,121.0,230.0,,44.0,1.0,14767.0,1789.0,8256184
Cabo Verde,138,362,,3.0,,130.0,229.0,,652.0,5.0,1307.0,2354.0,555327
Isle of Man,139,336,,24.0,,303.0,9.0,2.0,3954.0,282.0,4393.0,51691.0,84985
Mauritius,140,332,,10.0,,322.0,0.0,,261.0,8.0,101052.0,79472.0,1271548
Montenegro,141,324,,9.0,,314.0,1.0,,516.0,14.0,10167.0,16188.0,628058
Vietnam,142,324,,,,267.0,57.0,2.0,3.0,,275000.0,2828.0,97243794
Rwanda,143,321,,,,222.0,99.0,,25.0,,55968.0,4334.0,12914674
Nicaragua,144,279,,17.0,,199.0,63.0,,42.0,3.0,,,6615901
French Guiana,145,261,,1.0,,141.0,119.0,,877.0,3.0,,,297772
Sao Tome and Principe,146,251,,8.0,,4.0,239.0,,1148.0,37.0,175.0,800.0,218697
Liberia,147,249,,24.0,,136.0,89.0,,49.0,5.0,,,5043867
Eswatini,148,225,,2.0,,119.0,104.0,,194.0,2.0,4994.0,4309.0,1158855
Yemen,149,209,,33.0,,11.0,165.0,,7.0,1.0,120.0,4.0,29750177
Myanmar,150,201,2.0,6.0,,116.0,79.0,,4.0,0.1,17152.0,315.0,54370772
Mauritania,151,200,,6.0,,7.0,187.0,,43.0,1.0,2583.0,557.0,4635263
Martinique,152,197,,14.0,,91.0,92.0,,525.0,37.0,,,375295
Faeroe Islands,153,187,,,,187.0,0.0,,3829.0,,9084.0,185984.0,48843
Uganda,154,175,,,,68.0,107.0,,4.0,,83788.0,1839.0,45566443
Mozambique,155,164,,,,48.0,116.0,,5.0,,7480.0,240.0,31151425
Guadeloupe,156,156,,13.0,,115.0,28.0,3.0,390.0,32.0,3573.0,8930.0,400117
Gibraltar,157,151,,,,147.0,4.0,,4482.0,,6101.0,181082.0,33692
Brunei ,158,141,,1.0,,136.0,4.0,2.0,323.0,2.0,18411.0,42128.0,437024
Mongolia,159,141,,,,30.0,111.0,27.0,43.0,,12341.0,3771.0,3272373
Benin,160,135,,3.0,,61.0,71.0,,11.0,0.2,26792.0,2217.0,12085815
Cayman Islands,161,129,,1.0,,61.0,67.0,,1965.0,15.0,8426.0,128373.0,65637
Bermuda,162,128,,9.0,,81.0,38.0,2.0,2055.0,144.0,6133.0,98441.0,62301
Guyana,163,127,,10.0,,57.0,60.0,3.0,162.0,13.0,1366.0,1738.0,786150
Cambodia,164,124,1.0,,,122.0,2.0,1.0,7.0,,16007.0,959.0,16693317
Trinidad and Tobago,165,116,,8.0,,108.0,0.0,,83.0,6.0,2866.0,2049.0,1399011
Aruba,166,101,,3.0,,95.0,3.0,4.0,946.0,28.0,2061.0,19313.0,106718
Bahamas,167,97,,11.0,,44.0,42.0,1.0,247.0,28.0,1910.0,4862.0,392836
Monaco,168,97,,4.0,,90.0,3.0,1.0,2474.0,102.0,,,39212
Barbados,169,90,,7.0,,70.0,13.0,4.0,313.0,24.0,4541.0,15804.0,287338
Malawi,170,82,,3.0,,28.0,51.0,1.0,4.0,0.2,2411.0,126.0,19071854
Liechtenstein,171,82,,1.0,,55.0,26.0,,2151.0,26.0,900.0,23612.0,38117
Comoros,172,78,,1.0,,18.0,59.0,,90.0,1.0,,,867471
Sint Maarten,173,77,,15.0,,59.0,3.0,1.0,1798.0,350.0,437.0,10205.0,42823
Libya,174,72,,3.0,,38.0,31.0,,10.0,0.4,4351.0,634.0,6860947
Syria,175,70,11.0,4.0,,37.0,29.0,,4.0,0.2,,,17451066
Angola,176,60,,3.0,,17.0,40.0,,2.0,0.09,6136.0,187.0,32743009
French Polynesia,177,60,,,,60.0,0.0,,214.0,,3873.0,13796.0,280735
Zimbabwe,178,51,,4.0,,18.0,29.0,,3.0,0.3,28019.0,1888.0,14838856
Macao,179,45,,,,45.0,0.0,,69.0,,,,648355
Burundi,180,42,,1.0,,20.0,21.0,,4.0,0.08,284.0,24.0,11848359
Saint Martin,181,40,,3.0,,33.0,4.0,1.0,1036.0,78.0,,,38592
Eritrea,182,39,,,,39.0,0.0,,11.0,,,,3540980
Botswana,183,30,,1.0,,19.0,10.0,,13.0,0.4,16100.0,6862.0,2346198
Antigua and Barbuda,184,25,,3.0,,19.0,3.0,1.0,256.0,31.0,183.0,1870.0,97842
Gambia,185,25,,1.0,,13.0,11.0,,10.0,0.4,1476.0,613.0,2408601
Bhutan,186,24,3.0,,,6.0,18.0,,31.0,,15293.0,19844.0,770679
