Country,2020/04/06 17:24:01,2020/04/06 20:46:16,2020/04/07 15:34:17,2020/04/07 20:50:58,2020/04/08 08:52:04,2020/04/08 09:16:27,2020/04/08 10:08:06,2020/04/08 10:12:31,2020/04/09 13:57:23,2020/04/10 10:13:21,2020/04/10 16:03:43,2020/04/11 10:14:07,2020/04/12 10:14:59,2020/04/16 12:26:48,2020/04/17 10:18:45,2020/04/18 10:19:16,2020/04/19 10:20:04,2020/04/20 10:20:53,2020/04/21 10:21:13,2020/04/22 10:21:19,2020/04/23 10:21:37,2020/04/24 10:21:55,2020/04/25 10:22:32,2020/04/26 10:22:43,2020/04/27 10:23:05,2020/04/28 10:23:16,2020/04/29 10:23:43,2020/04/30 10:24:24,2020/05/01 10:24:46,2020/05/02 10:24:51,2020/05/03 10:24:55,2020/05/04 10:25:42,2020/05/05 10:25:33,2020/05/06 10:26:04,2020/05/07 10:26:50,2020/05/08 10:27:44,2020/05/09 10:28:06,2020/05/10 10:28:51,2020/05/11 10:29:44,2020/05/12 10:29:49,2020/05/13 10:30:19,2020/05/14 10:30:49,2020/05/15 10:30:52,2020/05/16 10:31:37,2020/05/17 10:32:03,2020/05/18 10:32:10,2020/05/19 10:33:05,2020/05/20 10:33:11,2020/05/21 10:33:38,2020/05/22 10:33:43,2020/05/23 10:34:25,2020/05/24 10:34:25,2020/05/25 10:34:32
Australia,302663.0,303536.0,310700.0,310700.0,318064.0,318064.0,318064.0,318064.0,330134.0,338346.0,338346.0,347847.0,353941.0,380003.0,391530.0,406510.0,420996.0,431734.0,439000.0,452441.0,466659.0,482371.0,494257.0,506449.0,517063.0,530679.0,536000.0,563641.0,581941.0,611583.0,630681.0,633107.0,662392.0,684615.0,722549.0,736655.0,795456.0,809616.0,855119.0,863050.0,909025.0,938044.0,983816.0,1013615.0,1042431.0,1059801.0,1085870.0,1108311.0,1137684.0,1170682.0,1191127.0,1224627.0,1245062.0
Norway,111299.0,111299.0,111299.0,113896.0,113896.0,113896.0,113896.0,113896.0,113896.0,121034.0,121034.0,123170.0,124279.0,130216.0,133707.0,136236.0,139668.0,142166.0,143255.0,145279.0,148656.0,152095.0,155125.0,155125.0,155125.0,164316.0,165951.0,169124.0,172586.0,172586.0,172586.0,172586.0,182285.0,189657.0,189657.0,191946.0,195921.0,195921.0,195921.0,202751.0,205239.0,208874.0,212655.0,216350.0,216350.0,216350.0,218039.0,219984.0,223045.0,223045.0,229769.0,229769.0,229769.0
Ireland,30213.0,30213.0,30213.0,42484.0,42484.0,42484.0,42484.0,42484.0,42484.0,53000.0,53000.0,53000.0,53000.0,90646.0,90646.0,90646.0,90646.0,90646.0,90646.0,111584.0,111584.0,111584.0,111584.0,127319.0,127319.0,127319.0,153954.0,153954.0,153954.0,153954.0,169377.0,169377.0,169377.0,214761.0,214761.0,214761.0,214761.0,214761.0,214761.0,214761.0,258808.0,258808.0,258808.0,258808.0,258808.0,258808.0,258808.0,295626.0,295626.0,295626.0,295626.0,295626.0,295626.0
Chile,54864.0,54864.0,54864.0,57122.0,57122.0,57122.0,57122.0,57122.0,68353.0,68353.0,72797.0,72797.0,76374.0,91873.0,98424.0,103873.0,108891.0,113649.0,118827.0,122357.0,128722.0,135147.0,142267.0,149212.0,155975.0,161235.0,166165.0,172619.0,180517.0,189433.0,199400.0,206218.0,214131.0,222095.0,232108.0,244226.0,255961.0,267904.0,280684.0,294057.0,303340.0,313750.0,325417.0,341347.0,350325.0,363496.0,381011.0,397200.0,409669.0,426003.0,442093.0,457332.0,471758.0
Denmark,49249.0,52936.0,52936.0,58419.0,58419.0,58419.0,58419.0,58419.0,64002.0,64002.0,64731.0,64731.0,67771.0,82380.0,87024.0,87024.0,91437.0,96244.0,100543.0,108465.0,116621.0,125329.0,125329.0,136738.0,155810.0,166846.0,180062.0,193165.0,206576.0,206576.0,221912.0,244791.0,257738.0,270680.0,284480.0,284480.0,298488.0,308984.0,326560.0,334260.0,334260.0,357986.0,368889.0,368889.0,444562.0,463016.0,475096.0,490782.0,490782.0,504266.0,514765.0,526285.0,537742.0
Czechia,85014.0,85014.0,91247.0,91247.0,98681.0,98681.0,98681.0,98681.0,106845.0,114854.0,114854.0,120285.0,125126.0,146004.0,154307.0,162533.0,168096.0,172123.0,178617.0,186918.0,195725.0,203622.0,210705.0,215116.0,218474.0,226255.0,234985.0,242088.0,249634.0,253826.0,257678.0,261548.0,269093.0,278519.0,286821.0,293992.0,298649.0,302493.0,306409.0,314138.0,326954.0,334714.0,341705.0,348849.0,353186.0,356515.0,356515.0,372341.0,372341.0,387127.0,387127.0,394499.0,403358.0
India,140293.0,140293.0,140293.0,140293.0,140293.0,140293.0,140293.0,140293.0,167235.0,177584.0,177584.0,189111.0,189111.0,274599.0,302956.0,335123.0,372123.0,401586.0,401586.0,462621.0,500542.0,541789.0,579957.0,625309.0,665819.0,716733.0,770764.0,830201.0,902654.0,976363.0,1046450.0,1107233.0,1191946.0,1276781.0,1357413.0,1437788.0,1523213.0,1609037.0,1673688.0,1759579.0,1854250.0,1947041.0,2039952.0,2134277.0,2227642.0,2302792.0,2404267.0,2512388.0,2615920.0,2719434.0,2834798.0,2943421.0,3033591.0
Poland,85467.0,85467.0,92215.0,92215.0,92215.0,92215.0,92215.0,92215.0,107597.0,107597.0,118295.0,118295.0,129560.0,156493.0,169071.0,179654.0,192960.0,204246.0,214236.0,224355.0,238799.0,250719.0,265201.0,278994.0,290633.0,297859.0,310744.0,324527.0,338027.0,354628.0,366013.0,375948.0,383804.0,394270.0,410468.0,425994.0,443506.0,460686.0,476904.0,491216.0,507778.0,528122.0,554357.0,576276.0,601394.0,620249.0,636046.0,653224.0,674861.0,697230.0,719571.0,750939.0,767441.0
Romania,40987.0,40987.0,43578.0,43578.0,43578.0,43578.0,47207.0,47207.0,51802.0,55430.0,55430.0,59272.0,62328.0,79629.0,85805.0,90991.0,93611.0,98491.0,101552.0,106357.0,113336.0,121602.0,126645.0,136518.0,143834.0,150309.0,166993.0,175374.0,183688.0,190540.0,195508.0,199068.0,205842.0,217139.0,226613.0,237280.0,248056.0,256749.0,256749.0,269183.0,277804.0,286217.0,294601.0,303734.0,310407.0,313621.0,322074.0,332487.0,342466.0,352647.0,361566.0,368482.0,377191.0
Malaysia,55566.0,55566.0,55566.0,55566.0,55566.0,55566.0,55566.0,55566.0,63367.0,69675.0,69675.0,71897.0,71897.0,87183.0,90562.0,96695.0,100794.0,103892.0,108216.0,110109.0,113755.0,121722.0,126970.0,131491.0,131491.0,144686.0,152142.0,160296.0,160296.0,184213.0,195833.0,205598.0,213220.0,213220.0,222150.0,231019.0,245102.0,256937.0,256937.0,271721.0,271721.0,271721.0,424306.0,434136.0,443263.0,443263.0,443263.0,471318.0,471318.0,491729.0,500469.0,507682.0,513370.0
Philippines,22958.0,22958.0,22958.0,22958.0,24500.0,24500.0,24500.0,24500.0,24500.0,24500.0,24500.0,24500.0,33814.0,48171.0,48171.0,56048.0,59928.0,59928.0,59928.0,68532.0,72346.0,76956.0,81292.0,81292.0,84789.0,89889.0,98941.0,104146.0,104146.0,115012.0,115287.0,126164.0,130889.0,140134.0,144583.0,151080.0,157730.0,163177.0,173144.0,181668.0,181668.0,188649.0,189469.0,191963.0,215060.0,224673.0,244800.0,244800.0,259172.0,267417.0,278041.0,287294.0,295593.0
Pakistan,35875.0,35875.0,39183.0,39183.0,42159.0,42159.0,42159.0,42159.0,44896.0,54706.0,54706.0,57836.0,61801.0,78979.0,84704.0,92548.0,98522.0,104302.0,111806.0,118020.0,124549.0,131365.0,138147.0,144365.0,150756.0,157223.0,165911.0,174160.0,182131.0,193859.0,203025.0,212511.0,222404.0,232582.0,244778.0,257247.0,270025.0,283517.0,294894.0,305851.0,317699.0,330750.0,344450.0,359264.0,373410.0,387335.0,400292.0,414254.0,429600.0,445987.0,460692.0,473607.0,483656.0
Japan,44639.0,46172.0,46172.0,46172.0,55311.0,55311.0,55311.0,55311.0,61498.0,64387.0,64387.0,64387.0,68771.0,94236.0,100703.0,100703.0,111325.0,112816.0,116725.0,124550.0,130587.0,135983.0,141600.0,147454.0,149074.0,150692.0,160546.0,164255.0,165609.0,174150.0,181527.0,183251.0,184586.0,186343.0,186343.0,190030.0,202013.0,211997.0,214256.0,218204.0,223649.0,223667.0,233144.0,233144.0,240368.0,244452.0,250151.0,255675.0,258277.0,261572.0,265502.0,268477.0,271201.0
Ecuador,12386.0,13039.0,13039.0,13039.0,14406.0,14406.0,14406.0,14406.0,14406.0,19102.0,19102.0,21568.0,21568.0,26093.0,27868.0,27868.0,30922.0,31809.0,32453.0,33389.0,34840.0,34840.0,56513.0,56513.0,56513.0,61529.0,61529.0,61529.0,69054.0,71950.0,73929.0,78659.0,80171.0,80171.0,81392.0,83218.0,82312.0,83657.0,84287.0,84287.0,85223.0,87036.0,88923.0,89817.0,93344.0,95047.0,96536.0,98171.0,100248.0,101580.0,104330.0,105462.0,106079.0
Luxembourg,23687.0,24291.0,24291.0,25702.0,25702.0,25702.0,25702.0,25702.0,26573.0,27521.0,28273.0,28273.0,28965.0,30723.0,31660.0,32394.0,33252.0,33666.0,33798.0,34962.0,36087.0,36891.0,37782.0,38514.0,39003.0,39102.0,39741.0,41758.0,42643.0,44895.0,47460.0,48118.0,48339.0,49299.0,50533.0,51883.0,53257.0,54463.0,55250.0,55415.0,56394.0,57687.0,58727.0,59987.0,60246.0,62153.0,62260.0,63011.0,64018.0,64981.0,65724.0,66653.0,67729.0
Saudi Arabia,,,,,,,,,,115585.0,115585.0,115585.0,115585.0,150000.0,150000.0,150000.0,150000.0,180000.0,180000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,326955.0,339775.0,352555.0,365093.0,376607.0,389659.0,405685.0,418722.0,433500.0,449644.0,482374.0,482374.0,513587.0,513587.0,530265.0,565228.0,586405.0,601954.0,618084.0,636178.0,651158.0,667057.0,684615.0,703534.0
Indonesia,9712.0,11460.0,13186.0,14354.0,14354.0,14354.0,14354.0,14354.0,14354.0,17679.0,17679.0,19452.0,19452.0,36000.0,36000.0,37134.0,42219.0,43749.0,49767.0,50370.0,55732.0,64054.0,67828.0,67828.0,75157.0,79618.0,86985.0,94599.0,102305.0,107943.0,112965.0,116861.0,121547.0,121547.0,128383.0,134151.0,150887.0,158273.0,161351.0,165128.0,169195.0,169195.0,178602.0,182818.0,187965.0,187965.0,190660.0,211883.0,219975.0,229334.0,229334.0,239740.0,256946.0
Peru,19410.0,20414.0,20414.0,20414.0,21555.0,21555.0,21555.0,21555.0,39599.0,48465.0,48465.0,56681.0,67712.0,109385.0,121468.0,127513.0,135895.0,143745.0,148011.0,155724.0,170400.0,185238.0,198349.0,218195.0,232747.0,239563.0,267612.0,296262.0,318252.0,342498.0,355604.0,375096.0,385492.0,406579.0,429458.0,448020.0,473190.0,494250.0,504930.0,512869.0,532169.0,553302.0,587292.0,605383.0,630482.0,650613.0,661132.0,679582.0,715423.0,736500.0,750526.0,788341.0,820967.0
Thailand,25071.0,25071.0,25071.0,71860.0,71860.0,71860.0,71860.0,71860.0,71860.0,71860.0,71860.0,71860.0,71860.0,100498.0,100498.0,100498.0,100498.0,142589.0,142589.0,142589.0,142589.0,142589.0,142589.0,142589.0,178083.0,178083.0,178083.0,178083.0,178083.0,178083.0,178083.0,227860.0,227860.0,227860.0,227860.0,227860.0,227860.0,227860.0,227860.0,227860.0,286008.0,286008.0,286008.0,286008.0,286008.0,286008.0,286008.0,286008.0,328073.0,328073.0,328073.0,328073.0,375453.0
Serbia,8552.0,8552.0,9626.0,9626.0,9626.0,9626.0,9626.0,9626.0,12347.0,12347.0,14240.0,14240.0,16399.0,26278.0,29472.0,32566.0,36028.0,38701.0,41812.0,45355.0,48636.0,51324.0,54887.0,59938.0,64303.0,67917.0,73363.0,78942.0,85645.0,91551.0,96637.0,101911.0,106461.0,111278.0,117474.0,122995.0,128805.0,134533.0,140592.0,145604.0,151304.0,156603.0,162797.0,168670.0,174746.0,181272.0,185385.0,190683.0,196881.0,203799.0,209797.0,214212.0,217856.0
Finland,32800.0,32800.0,34900.0,34900.0,34900.0,34900.0,34900.0,34900.0,39000.0,39000.0,41200.0,44354.0,45019.0,48828.0,49700.0,52500.0,57300.0,58727.0,61447.0,68552.0,70993.0,71000.0,74500.0,80273.0,82437.0,82437.0,89784.0,93866.0,97593.0,101800.0,101800.0,103445.0,103500.0,108112.0,108200.0,112100.0,119100.0,121500.0,123218.0,123300.0,126500.0,133200.0,137000.0,143900.0,146800.0,146800.0,149700.0,152300.0,160177.0,163000.0,165600.0,166900.0,168698.0
Mexico,18034.0,18034.0,20475.0,20475.0,25410.0,25410.0,25410.0,25410.0,25410.0,31492.0,31492.0,31492.0,35479.0,40091.0,40091.0,48365.0,49167.0,49570.0,49570.0,49570.0,49570.0,51297.0,51297.0,65500.0,67635.0,71103.0,77005.0,81912.0,81912.0,91188.0,91188.0,93791.0,100041.0,100041.0,105664.0,110916.0,123446.0,128148.0,130956.0,135116.0,142204.0,142204.0,155932.0,163691.0,163691.0,172294.0,177133.0,185755.0,185755.0,201838.0,201838.0,215656.0,219164.0
UAE,220000.0,220000.0,220000.0,220000.0,220000.0,220000.0,220000.0,220000.0,593095.0,593095.0,593095.0,593095.0,648195.0,767000.0,767000.0,767000.0,767000.0,767000.0,790000.0,790000.0,790000.0,790000.0,790000.0,1022326.0,1057326.0,1057326.0,1122000.0,1122000.0,1122000.0,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,1500000.0,1500000.0,1560923.0,1560923.0,1560923.0,1600923.0,1600923.0,1600923.0,1600923.0,1600923.0,1600923.0,1600923.0,1600923.0
