Country,2020/03/30 12:00:00,2020/04/06 17:24:01,2020/04/06 20:46:16,2020/04/07 15:34:17,2020/04/07 20:50:58,2020/04/08 08:52:04,2020/04/08 09:16:27,2020/04/08 10:08:06,2020/04/08 10:12:31,2020/04/09 13:57:23,2020/04/10 10:13:21,2020/04/10 16:03:43,2020/04/11 10:14:07,2020/04/12 10:14:59,2020/04/16 12:26:48,2020/04/17 10:18:45,2020/04/18 10:19:16,2020/04/19 10:20:04,2020/04/20 10:20:53,2020/04/21 10:21:13,2020/04/22 10:21:19,2020/04/23 10:21:37,2020/04/24 10:21:55,2020/04/25 10:22:32,2020/04/26 10:22:43,2020/04/27 10:23:05,2020/04/28 10:23:16,2020/04/29 10:23:43,2020/04/30 10:24:24,2020/05/01 10:24:46,2020/05/02 10:24:51,2020/05/03 10:24:55,2020/05/04 10:25:42,2020/05/05 10:25:33,2020/05/06 10:26:04,2020/05/07 10:26:50,2020/05/08 10:27:44,2020/05/09 10:28:06,2020/05/10 10:28:51,2020/05/11 10:29:44,2020/05/12 10:29:49,2020/05/13 10:30:19,2020/05/14 10:30:49,2020/05/15 10:30:52,2020/05/16 10:31:37,2020/05/17 10:32:03,2020/05/18 10:32:10,2020/05/19 10:33:05,2020/05/20 10:33:11,2020/05/21 10:33:38,2020/05/22 10:33:43,2020/05/23 10:34:25,2020/05/24 10:34:25,2020/05/25 10:34:32
Equatorial Guinea,12.0,15.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,15.0,15.0,15.0,15.0,15.0,47.0,47.0,75.0,75.0,75.0,72.0,76.0,76.0,76.0,206.0,249.0,249.0,248.0,305.0,305.0,305.0,305.0,305.0,301.0,299.0,299.0,422.0,422.0,422.0,422.0,422.0,422.0,422.0,503.0,563.0,565.0,565.0,565.0,690.0,796.0,861.0,871.0,784.0,784.0,784.0
Eritrea,12.0,29.0,29.0,31.0,31.0,31.0,31.0,31.0,31.0,33.0,33.0,33.0,34.0,34.0,35.0,35.0,35.0,36.0,36.0,36.0,33.0,33.0,28.0,28.0,26.0,26.0,26.0,20.0,20.0,13.0,13.0,13.0,13.0,13.0,9.0,9.0,9.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mongolia,12.0,13.0,13.0,11.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,26.0,26.0,26.0,25.0,26.0,26.0,27.0,27.0,27.0,28.0,29.0,28.0,28.0,28.0,28.0,28.0,29.0,29.0,28.0,28.0,28.0,28.0,29.0,28.0,28.0,28.0,27.0,27.0,46.0,78.0,115.0,115.0,116.0,114.0,114.0,114.0,113.0,111.0,109.0,108.0
Dominica,11.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,11.0,11.0,11.0,11.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0,6.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Namibia,9.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,12.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,6.0,5.0,5.0,5.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,5.0,6.0,7.0,7.0
Saint Martin,11.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,19.0,19.0,19.0,20.0,20.0,20.0,16.0,16.0,16.0,17.0,17.0,16.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,8.0,8.0,8.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,4.0,4.0
Greenland,8.0,8.0,7.0,7.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Myanmar,10.0,20.0,21.0,21.0,21.0,19.0,19.0,19.0,19.0,18.0,22.0,22.0,23.0,33.0,79.0,79.0,84.0,97.0,99.0,107.0,109.0,113.0,125.0,130.0,131.0,131.0,125.0,128.0,117.0,117.0,114.0,108.0,106.0,106.0,106.0,106.0,108.0,104.0,104.0,102.0,100.0,98.0,96.0,91.0,87.0,80.0,84.0,84.0,83.0,85.0,85.0,79.0,75.0,73.0
Syria,8.0,15.0,15.0,15.0,14.0,14.0,14.0,14.0,14.0,13.0,13.0,13.0,13.0,18.0,26.0,26.0,31.0,31.0,31.0,31.0,33.0,33.0,33.0,33.0,28.0,26.0,21.0,19.0,19.0,19.0,14.0,14.0,14.0,14.0,14.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,16.0,16.0,11.0,12.0,19.0,19.0,19.0,19.0,19.0,29.0,29.0,61.0
Grenada,9.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,14.0,14.0,14.0,14.0,8.0,8.0,8.0,8.0,8.0,9.0,8.0,8.0,11.0,11.0,11.0,9.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,5.0,5.0,5.0,5.0,5.0
Saint Lucia,8.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,14.0,11.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eswatini,9.0,10.0,10.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,7.0,8.0,7.0,10.0,13.0,13.0,15.0,22.0,22.0,22.0,25.0,45.0,48.0,54.0,60.0,80.0,87.0,93.0,95.0,99.0,103.0,106.0,109.0,139.0,145.0,147.0,143.0,145.0,154.0,137.0,134.0,122.0,128.0,128.0,125.0,119.0,118.0,106.0,104.0,117.0,92.0
Curaçao,5.0,5.0,7.0,7.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0
Guyana,7.0,25.0,25.0,18.0,18.0,20.0,20.0,20.0,20.0,23.0,23.0,23.0,26.0,31.0,41.0,42.0,48.0,48.0,49.0,50.0,50.0,51.0,51.0,54.0,54.0,54.0,51.0,51.0,52.0,51.0,51.0,51.0,51.0,56.0,56.0,56.0,56.0,49.0,52.0,59.0,63.0,67.0,62.0,61.0,63.0,64.0,64.0,69.0,69.0,68.0,60.0,60.0,59.0,63.0
Laos,8.0,12.0,12.0,14.0,14.0,15.0,15.0,15.0,15.0,16.0,16.0,16.0,18.0,18.0,17.0,17.0,17.0,17.0,17.0,17.0,15.0,15.0,15.0,12.0,12.0,12.0,12.0,12.0,11.0,11.0,11.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Libya,8.0,17.0,17.0,17.0,17.0,18.0,18.0,18.0,18.0,12.0,15.0,15.0,15.0,16.0,36.0,37.0,37.0,37.0,39.0,35.0,43.0,44.0,40.0,41.0,41.0,41.0,41.0,41.0,41.0,40.0,42.0,38.0,38.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,33.0,33.0,33.0,33.0,33.0,34.0,27.0,27.0,30.0,31.0,33.0,31.0,33.0,33.0
Mozambique,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,16.0,16.0,16.0,18.0,18.0,27.0,29.0,32.0,31.0,31.0,31.0,31.0,33.0,34.0,53.0,58.0,64.0,64.0,64.0,64.0,64.0,67.0,61.0,61.0,61.0,62.0,60.0,57.0,55.0,53.0,57.0,69.0,70.0,70.0,80.0,77.0,86.0,93.0,101.0,98.0,108.0,114.0,116.0,120.0,143.0
Seychelles,8.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Suriname,8.0,9.0,9.0,9.0,9.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Angola,5.0,10.0,12.0,12.0,12.0,13.0,13.0,13.0,13.0,15.0,15.0,15.0,15.0,13.0,12.0,12.0,12.0,16.0,16.0,16.0,16.0,17.0,17.0,17.0,17.0,18.0,19.0,19.0,18.0,18.0,17.0,22.0,22.0,22.0,23.0,23.0,23.0,30.0,28.0,30.0,30.0,30.0,29.0,32.0,29.0,29.0,29.0,30.0,32.0,38.0,38.0,40.0,39.0,47.0
Gabon,6.0,22.0,22.0,28.0,28.0,28.0,28.0,28.0,28.0,32.0,42.0,42.0,42.0,47.0,75.0,88.0,100.0,100.0,101.0,112.0,139.0,141.0,141.0,143.0,143.0,143.0,165.0,182.0,206.0,206.0,206.0,245.0,245.0,268.0,298.0,332.0,386.0,502.0,543.0,543.0,666.0,717.0,843.0,912.0,980.0,1065.0,1065.0,1120.0,1172.0,1190.0,1190.0,1314.0,1463.0,1463.0
Zimbabwe,6.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0,10.0,11.0,19.0,19.0,19.0,20.0,20.0,20.0,23.0,22.0,23.0,23.0,25.0,22.0,23.0,23.0,31.0,31.0,31.0,25.0,25.0,25.0,25.0,25.0,25.0,21.0,23.0,23.0,23.0,23.0,21.0,20.0,25.0,23.0,23.0,24.0,24.0,26.0,29.0,29.0,34.0,27.0
Antigua and Barbuda,7.0,15.0,15.0,15.0,15.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,19.0,19.0,17.0,17.0,17.0,17.0,17.0,17.0,14.0,11.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Cabo Verde,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,54.0,54.0,54.0,56.0,59.0,65.0,66.0,71.0,80.0,86.0,88.0,104.0,106.0,111.0,111.0,116.0,103.0,132.0,130.0,136.0,147.0,151.0,178.0,184.0,178.0,188.0,200.0,207.0,226.0,246.0,257.0,241.0,241.0,240.0,247.0,261.0,258.0,229.0,226.0,222.0
