Country,2020/03/30 12:00:00,2020/04/06 17:24:01,2020/04/06 20:46:16,2020/04/07 15:34:17,2020/04/07 20:50:58,2020/04/08 08:52:04,2020/04/08 09:16:27,2020/04/08 10:08:06,2020/04/08 10:12:31,2020/04/09 13:57:23,2020/04/10 10:13:21,2020/04/10 16:03:43,2020/04/11 10:14:07,2020/04/12 10:14:59,2020/04/16 12:26:48,2020/04/17 10:18:45,2020/04/18 10:19:16,2020/04/19 10:20:04,2020/04/20 10:20:53,2020/04/21 10:21:13,2020/04/22 10:21:19,2020/04/23 10:21:37,2020/04/24 10:21:55,2020/04/25 10:22:32,2020/04/26 10:22:43,2020/04/27 10:23:05,2020/04/28 10:23:16,2020/04/29 10:23:43,2020/04/30 10:24:24,2020/05/01 10:24:46,2020/05/02 10:24:51,2020/05/03 10:24:55,2020/05/04 10:25:42,2020/05/05 10:25:33,2020/05/06 10:26:04,2020/05/07 10:26:50,2020/05/08 10:27:44,2020/05/09 10:28:06,2020/05/10 10:28:51,2020/05/11 10:29:44,2020/05/12 10:29:49,2020/05/13 10:30:19,2020/05/14 10:30:49,2020/05/15 10:30:52,2020/05/16 10:31:37,2020/05/17 10:32:03,2020/05/18 10:32:10,2020/05/19 10:33:05
Czechia,16.0,72.0,78.0,80.0,88.0,91.0,91.0,91.0,91.0,104.0,113.0,119.0,123.0,132.0,166.0,170.0,176.0,181.0,188.0,196.0,204.0,210.0,213.0,215.0,219.0,221.0,223.0,227.0,227.0,237.0,241.0,245.0,249.0,252.0,258.0,263.0,270.0,273.0,276.0,280.0,283.0,284.0,290.0,293.0,295.0,297.0,298.0,299.0
Ireland,46.0,158.0,174.0,174.0,210.0,210.0,210.0,210.0,210.0,235.0,263.0,263.0,287.0,320.0,444.0,486.0,530.0,571.0,610.0,687.0,730.0,769.0,794.0,1014.0,1063.0,1087.0,1102.0,1159.0,1190.0,1232.0,1265.0,1286.0,1303.0,1319.0,1339.0,1375.0,1403.0,1429.0,1446.0,1458.0,1467.0,1488.0,1497.0,1506.0,1518.0,1533.0,1543.0,1547.0
Malaysia,35.0,62.0,62.0,63.0,63.0,63.0,65.0,65.0,65.0,67.0,70.0,70.0,73.0,76.0,84.0,86.0,88.0,89.0,89.0,92.0,93.0,95.0,96.0,98.0,98.0,99.0,100.0,100.0,102.0,103.0,103.0,105.0,105.0,106.0,107.0,107.0,107.0,108.0,108.0,109.0,109.0,111.0,112.0,112.0,113.0,113.0,113.0,114.0
Denmark,72.0,187.0,187.0,203.0,203.0,203.0,203.0,203.0,203.0,237.0,237.0,247.0,247.0,260.0,309.0,321.0,336.0,346.0,355.0,364.0,370.0,384.0,394.0,403.0,418.0,422.0,427.0,434.0,443.0,452.0,460.0,475.0,484.0,493.0,503.0,506.0,514.0,522.0,526.0,529.0,533.0,527.0,533.0,537.0,537.0,543.0,547.0,548.0
Chile,7.0,37.0,37.0,37.0,43.0,43.0,43.0,43.0,43.0,57.0,57.0,65.0,65.0,73.0,94.0,105.0,116.0,126.0,133.0,139.0,147.0,160.0,168.0,174.0,181.0,189.0,198.0,207.0,216.0,227.0,234.0,247.0,260.0,270.0,275.0,281.0,285.0,294.0,304.0,312.0,323.0,335.0,346.0,368.0,394.0,421.0,450.0,478.0
Luxembourg,21.0,36.0,41.0,41.0,44.0,44.0,44.0,44.0,44.0,46.0,52.0,54.0,54.0,62.0,69.0,69.0,72.0,72.0,73.0,75.0,78.0,80.0,83.0,85.0,85.0,88.0,88.0,89.0,89.0,90.0,92.0,92.0,96.0,96.0,96.0,98.0,100.0,100.0,101.0,101.0,101.0,102.0,103.0,103.0,104.0,104.0,107.0,107.0
Ecuador,58.0,180.0,191.0,191.0,191.0,220.0,220.0,220.0,220.0,242.0,272.0,272.0,297.0,315.0,388.0,403.0,421.0,456.0,474.0,507.0,520.0,537.0,560.0,576.0,576.0,576.0,663.0,871.0,883.0,900.0,1063.0,1371.0,1564.0,1569.0,1569.0,1618.0,1654.0,1704.0,1717.0,2127.0,2145.0,2327.0,2334.0,2338.0,2594.0,2688.0,2736.0,2799.0
Japan,54.0,85.0,85.0,92.0,92.0,93.0,93.0,93.0,93.0,94.0,99.0,99.0,99.0,108.0,178.0,190.0,190.0,222.0,236.0,263.0,281.0,299.0,328.0,345.0,360.0,372.0,385.0,394.0,425.0,430.0,455.0,474.0,487.0,536.0,556.0,556.0,577.0,590.0,607.0,624.0,633.0,657.0,678.0,697.0,713.0,725.0,744.0,749.0
Poland,22.0,98.0,107.0,111.0,129.0,136.0,136.0,136.0,136.0,164.0,175.0,181.0,195.0,208.0,292.0,318.0,339.0,350.0,362.0,385.0,404.0,435.0,463.0,499.0,526.0,539.0,570.0,606.0,628.0,644.0,651.0,664.0,683.0,700.0,723.0,737.0,756.0,777.0,791.0,803.0,827.0,847.0,869.0,893.0,912.0,919.0,929.0,941.0
Romania,43.0,162.0,168.0,197.0,197.0,207.0,207.0,209.0,209.0,229.0,257.0,265.0,282.0,306.0,387.0,400.0,417.0,434.0,451.0,482.0,508.0,527.0,552.0,575.0,608.0,631.0,650.0,675.0,695.0,726.0,755.0,780.0,803.0,827.0,858.0,876.0,898.0,926.0,952.0,972.0,991.0,1016.0,1046.0,1056.0,1081.0,1097.0,1107.0,1126.0
